Date	Open	High	Low	Close	Adj Close	Volume
1/2/80	2.320313	2.332031	2.316406	2.320313	0.036258	1638400
1/3/80	2.320313	2.324219	2.289063	2.289063	0.03577	2400000
1/4/80	2.289063	2.300781	2.289063	2.300781	0.035953	672000
1/7/80	2.300781	2.304688	2.289063	2.289063	0.03577	1276800
1/8/80	2.289063	2.304688	2.28125	2.296875	0.035892	1155200
1/9/80	2.300781	2.351563	2.300781	2.328125	0.03638	2403200
1/10/80	2.328125	2.371094	2.328125	2.328125	0.03638	4288000
1/11/80	2.328125	2.339844	2.3125	2.320313	0.036258	1331200
1/14/80	2.320313	2.339844	2.304688	2.339844	0.036986	1929600
1/15/80	2.339844	2.347656	2.324219	2.335938	0.036925	2355200
1/16/80	2.335938	2.339844	2.316406	2.332031	0.036863	3043200
1/17/80	2.332031	2.332031	2.289063	2.296875	0.036307	3116800
1/18/80	2.296875	2.296875	2.277344	2.285156	0.036122	876800
1/21/80	2.285156	2.292969	2.273438	2.273438	0.035937	1564800
1/22/80	2.273438	2.28125	2.246094	2.25	0.035566	1900800
1/23/80	2.246094	2.246094	2.222656	2.242188	0.035443	2540800
1/24/80	2.25	2.289063	2.25	2.273438	0.035937	5324800
1/25/80	2.273438	2.277344	2.25	2.277344	0.035999	2467200
1/28/80	2.277344	2.277344	2.253906	2.277344	0.035999	1798400
1/29/80	2.277344	2.304688	2.261719	2.28125	0.03606	3033600
1/30/80	2.28125	2.28125	2.253906	2.261719	0.035752	2262400
1/31/80	2.261719	2.285156	2.253906	2.253906	0.035628	1241600
2/1/80	2.253906	2.265625	2.238281	2.242188	0.035443	1596800
2/4/80	2.242188	2.269531	2.238281	2.25	0.035566	1558400
2/5/80	2.25	2.265625	2.242188	2.242188	0.035443	1891200
2/6/80	2.242188	2.25	2.210938	2.222656	0.035134	2006400
2/7/80	2.222656	2.238281	2.1875	2.203125	0.034825	1913600
2/8/80	2.203125	2.226563	2.191406	2.210938	0.034949	1526400
2/11/80	2.210938	2.226563	2.199219	2.203125	0.034825	1811200
2/12/80	2.21875	2.261719	2.21875	2.25	0.035566	1379200
2/13/80	2.292969	2.335938	2.292969	2.292969	0.036245	4022400
2/14/80	2.296875	2.339844	2.296875	2.304688	0.036431	1443200
2/15/80	2.304688	2.308594	2.261719	2.269531	0.035875	2416000
2/19/80	2.257813	2.257813	2.234375	2.246094	0.035505	1468800
2/20/80	2.246094	2.269531	2.246094	2.25	0.035566	988800
2/21/80	2.25	2.257813	2.238281	2.25	0.035566	1564800
2/22/80	2.25	2.257813	2.242188	2.242188	0.035443	1116800
2/25/80	2.242188	2.253906	2.238281	2.246094	0.035505	2704000
2/26/80	2.246094	2.25	2.234375	2.246094	0.035505	1107200
2/27/80	2.246094	2.246094	2.222656	2.226563	0.035196	2742400
2/28/80	2.226563	2.230469	2.210938	2.210938	0.034949	1187200
2/29/80	2.214844	2.242188	2.214844	2.226563	0.035196	2774400
3/3/80	2.222656	2.222656	2.175781	2.183594	0.034517	1750400
3/4/80	2.179688	2.179688	2.148438	2.15625	0.034084	2435200
3/5/80	2.15625	2.15625	2.085938	2.089844	0.033035	2371200
3/6/80	2.089844	2.09375	2.078125	2.09375	0.033096	1939200
3/7/80	2.09375	2.09375	2.03125	2.03125	0.032108	1811200
3/10/80	2.058594	2.078125	2.058594	2.070313	0.032726	1804800
3/11/80	2.070313	2.078125	2.058594	2.070313	0.032726	1712000
3/12/80	2.070313	2.070313	2.035156	2.058594	0.032541	3785600
3/13/80	2.054688	2.054688	2.03125	2.03125	0.032108	1776000
3/14/80	2.03125	2.0625	2.027344	2.03125	0.032108	2521600
3/17/80	2.03125	2.035156	1.96875	1.96875	0.03112	4150400
3/18/80	1.972656	2.007813	1.972656	1.996094	0.031553	2729600
3/19/80	1.996094	2.027344	1.992188	2.019531	0.031923	1494400
3/20/80	2.019531	2.035156	2.015625	2.019531	0.031923	1072000
3/21/80	2.019531	2.039063	2.015625	2.023438	0.031985	851200
3/24/80	2.023438	2.042969	1.984375	1.988281	0.031429	1811200
3/25/80	1.992188	2.03125	1.992188	2.003906	0.031676	2176000
3/26/80	2.003906	2.007813	1.988281	1.988281	0.031429	1913600
3/27/80	1.988281	1.996094	1.960938	1.972656	0.031182	1900800
3/28/80	1.992188	2.070313	1.992188	2.054688	0.032479	2099200
3/31/80	2.078125	2.117188	2.078125	2.117188	0.033467	1075200
4/1/80	2.117188	2.121094	2.085938	2.117188	0.033467	1129600
4/2/80	2.117188	2.164063	2.109375	2.140625	0.033837	3958400
4/3/80	2.140625	2.152344	2.132813	2.140625	0.033837	1612800
4/7/80	2.140625	2.144531	2.113281	2.117188	0.033467	1507200
